"file","start","end"
"src\posts\2025\2025-09-16-ed_ud_01_desarrollo_software.md","2026-04-18 13:27:05.979","2026-04-18 13:27:05.980"
"src\posts\2025\2025-09-16-prog_ud_01_introduccion_programacion.md","2026-04-18 13:27:05.980","2026-04-18 13:27:05.980"
"src\posts\2025\2025-09-23-daw_ud_02_introduccion_virtualizacion_docker.md","2026-04-18 13:27:05.981","2026-04-18 13:27:05.981"
"src\posts\2025\2025-09-23-prog_ud_02_programacion_estructurada_modular.md","2026-04-18 13:27:05.982","2026-04-18 13:27:05.983"
"src\posts\2025\2025-09-25-ed_ud_02_entornos_desarrollo.md","2026-04-18 13:27:05.983","2026-04-18 13:27:05.984"
"src\posts\2025\2025-10-20-daw_ud_03_arquitectura_web_despliegue.md","2026-04-18 13:27:05.984","2026-04-18 13:27:05.985"
"src\posts\2025\2025-10-20-ed_ud_03_sistemas_control_versiones.md","2026-04-18 13:27:05.985","2026-04-18 13:27:05.986"
"src\posts\2025\2025-10-20-prog_ud_03_estrecturas_estaticas.md","2026-04-18 13:27:05.986","2026-04-18 13:27:05.987"
"src\posts\2025\2025-10-24-dwes_ud_02_servicios_jvm_springboot.md","2026-04-18 13:27:05.987","2026-04-18 13:27:05.987"
"src\posts\2025\2025-12-31-csharpnet_docencia_daw.md","2026-04-18 13:27:05.987","2026-04-18 13:27:05.988"
